zipcode,med_income,pop
11580,104495,41367
11581,109651,21115
11590,98743,47810
11596,127366,10589
11598,143284,13224
11691,44819,64718
11692,47639,21989
11693,60223,13123
11694,86366,21834
11697,111551,4280
11701,75544,27095
11702,108260,14054
11703,91830,16044
11704,87249,38878
11705,101806,8060
11706,83890,63106
11709,112987,6705
11710,122790,34600
11713,72687,11423
11714,102377,23023
11715,108616,4478
11716,88487,10531
11717,74654,61585
11718,127852,2844
11719,88588,3512
11720,103619,29140
11721,129493,6098
11722,68106,35108
11724,195669,3097
11725,123203,28333
11726,71798,20066
11727,80598,29975
11729,89315,26541
11730,117262,14345
11731,107026,29388
11732,161341,3322
11733,132569,18719
11735,99841,31995
11738,96452,17020
11739,136891,1205
11740,92701,9334
11741,103856,27042
11742,96280,13536
11743,130028,41278
11746,104805,67058
11747,124577,20134
11749,83749,3724
11751,101816,14028
11752,100422,9601
11753,161628,12338
11754,111726,18393
11755,103965,12599
11756,108165,42395
11757,84835,43849
11758,116084,54104
11762,122478,22661
11763,89165,29140
11764,108718,13404
11765,159693,662
11766,111928,12642
11767,127146,14366
11768,118770,21433
11769,92619,9508
11770,117686,128
11771,142532,11055
11772,73022,45396
11776,96642,23863
11777,117197,9111
11778,95982,12996
11779,93492,37295
11780,116660,15443
11782,116631,15778
11783,122245,21265
11784,91033,23591
11786,116818,5953
11787,121692,35325
11788,107801,16627
11789,96668,7768
11790,136762,17886
11791,168096,25255
11792,119634,8544
11793,121493,32720
11794,,3067
11795,116736,24967
11796,110959,3604
11797,150000,9426
11798,75231,15806
11801,108246,39529
11803,140235,28979
11804,127999,5188
11901,60829,28868
11930,96128,1310
11933,74869,8186
11934,97203,7862
11935,86006,3845
11937,89114,17500
11939,74789,1095
11940,96625,5317
11941,101689,4377
11942,93248,5605
11944,61182,4556
11946,81035,14327
11948,94018,1128
11949,101415,15382
11950,72681,16373
11951,65816,14245
11952,81744,4629
11953,74397,13736
11954,82195,3450
11955,73206,3282
11957,77089,719
11958,87902,616
11961,63677,13421
11963,101719,8581
11964,92933,1340
11965,125471,1151
11967,85191,26426
11968,83251,11564
11971,96771,5715
11976,106012,1852
11977,99277,2864
11978,84288,3336
11980,98748,4757
12007,78811,150
12008,106723,518
12009,85678,7742
12010,46729,28977
12015,68141,3726
12017,78858,371
12018,90105,7950
12019,98708,15396
12020,86109,32811
12022,57686,901
12023,70340,1993
12024,67806,132
12025,66283,5551
12027,100693,3770
12028,67637,1335
12029,80281,1006
12032,52915,489
12033,82952,8158
12035,59364,810
12036,51984,223
12037,63559,4062
12041,76797,514
12042,72493,335
12043,50343,8030
12045,61528,496
12046,76912,630
12047,56925,21278
12051,59323,5915
12052,74284,1563
12053,81047,4486
12054,104891,17386
12056,94766,2320
12057,52595,1820
12058,73589,1450
12059,72208,1890
12060,75496,1441
12061,89533,8966
12062,67315,1879
12063,106738,348
12064,51590,379
12065,90753,42904
12066,62920,2064
12067,82085,1474
12068,58070,3456
12070,58629,1503
12071,49401,186
12072,50636,2828
12074,74395,2706
12075,66649,3174
12076,61798,1398
12077,104356,6454
12078,44106,22973
12083,68846,3646
12084,67030,5033
12086,66941,1207
12087,73167,1198
12090,59212,6133
12092,56647,1192
12093,51760,1587
12094,76206,2139
12095,51948,12220
12106,79596,2293
12108,60515,466
12110,79742,19961
12115,79750,75
12116,51505,1727
12117,57709,2967
12118,74648,16226
12120,57665,516
12121,75743,1935
12122,48542,4365
12123,76144,5125
12125,64439,1204
12130,84720,637
12131,50000,170
12134,60025,3582
12136,73572,798
12137,79618,1667
12138,65219,3257
12139,47962,178
12140,88443,1729
12143,57496,5189
12144,65480,21001
12147,61420,482
12148,119952,5183
12149,48386,2421
12150,70110,838
12151,63689,606
12153,84407,943
12154,71743,2748
12155,53855,1876
12156,77175,865
12157,56831,3856
12158,79576,6878
12159,88712,7965
12160,62993,1021
12164,61380,292
12165,55928,167
12166,56786,1501
12167,51556,2576
12168,66665,1853
12169,67940,450
12170,81193,5141
12173,73092,1848
12175,53588,742
12176,70832,241
12180,54627,54064
12182,43721,14538
12183,53526,2712
12184,78945,7405
12185,71815,1999
12186,88977,6288
12187,60130,699
12188,74508,10628
12189,53376,18297
12190,44478,587
12192,70786,1921
